# cc_reference.draft.csv — BROUILLON généré le 2026-07-10 par `python -m trio_lab.ccref`.,,,,,,,,,,
# NE PAS FIGER SANS RELECTURE HUMAINE (CLAUDE.md règle 4) : durées/%slow extraits,,,,,,,,,,
# par heuristiques depuis la prose du wiki ; toute ligne avec `note_relecture`,,,,,,,,,,
# non vide demande une vérification. Après relecture : renommer en,,,,,,,,,,
# cc_reference.csv (fichier immuable,re-versionné à chaque rework).,,,,,,,,,
#,,,,,,,,,,
# Source : League of Legends Wiki — « Types of Crowd Control/Sources » et pages de sorts,,,,,,,,,,
# via l'API MediaWiki (https://wiki.leagueoflegends.com/en-us/api.php).,,,,,,,,,,
# Contenu dérivé sous licence CC BY-SA 4.0 ; attribution : League of Legends Wiki,,,,,,,,,,
# (https://wiki.leagueoflegends.com),communauté des contributeurs.,,,,,,,,,
# League of Legends et Riot Games sont des marques de Riot Games,Inc.,,,,,,,,,
#,,,,,,,,,,
# Colonnes : zone ∈ {mono,multi} (heuristique),fiabilite ∈ {point_click,skillshot},,,,,,,
# disponibilite ∈ {base,ultimate},repositionnement ∈ {0,1} (airborne déplaçant).,,,,,,,
# Les coefficients (poids par type,coef_zone…) vivent dans la config,pas ici.,,,,,,,,
champion,sort,type_cc,duree_s,pct_slow,zone,fiabilite,disponibilite,repositionnement,note_relecture,mes_commentaires
Jinx,W,slow,2.0,60.0,mono,skillshot,base,0,"%slow depuis leveling « Slow », moyenne retenue",
K'Sante,Q,airborne,0.65,,multi,skillshot,base,1,,
K'Sante,Q,slow,0.5,80.0,multi,skillshot,base,0,,
K'Sante,Q,stun,0.8,,multi,skillshot,base,0,,
K'Sante,R,airborne,0.5,,mono,point_click,ultimate,1,,
K'Sante,R,root,,,mono,point_click,ultimate,0,durée introuvable,"Pour le R K'sante il y a un root de 0,5s et un airbone de 0,25s et un stun de 0,5s"
K'Sante,R,stun,0.3,,mono,point_click,ultimate,0,,
K'Sante,W,airborne,0.5,,mono,skillshot,base,1,défaut appliqué : knockback/pull 0.5 s — à vérifier,
K'Sante,W,stun,,,mono,skillshot,base,0,durée introuvable,"De 0,5s à 1,75s en fonction du temps de charge du sort"
Kalista,E,slow,2.0,26.0,multi,skillshot,base,0,"%slow depuis leveling « Slow », moyenne retenue",
Kalista,R,airborne,1.0,,multi,skillshot,ultimate,0,,
Kalista,R,silence,,,multi,skillshot,ultimate,0,durée introuvable,C'est l'allié qui est silence
Karma,Q,slow,1.5,40.0,multi,skillshot,base,0,,
Karma,Q,slow,,50.0,multi,skillshot,base,0,,Le RQ crée une zone de slow en plus du slow normal
Karma,W,root,1.8,,mono,point_click,base,0,"durée depuis leveling « Root Duration », moyenne retenue",
Karma,W,root,0.875,,mono,point_click,base,0,"durée depuis leveling « Root Duration Increase », moyenne retenue",
Karthus,W,slow,5.0,60.0,mono,skillshot,base,0,"%slow depuis leveling « Slow », moyenne retenue",
Kassadin,E,slow,1.0,60.0,multi,skillshot,base,0,"%slow depuis leveling « Slow », moyenne retenue",
Kayle,Q,slow,2.0,35.0,mono,skillshot,base,0,"%slow depuis leveling « Slow », moyenne retenue",
Kayn,W,airborne,1.0,,multi,skillshot,base,0,forme Rhaast,
Kayn,W,slow,1.5,90.0,multi,skillshot,base,0,,
Kayn,W,slow,1.5,90.0,multi,skillshot,base,0,forme Rhaast,
Kennen,P,stun,1.25,,multi,skillshot,base,0,,
Kha'Zix,P,slow,2.0,25.0,mono,skillshot,base,0,,
Kha'Zix,W,slow,2.0,40.0,multi,skillshot,base,0,,
Kindred,E,slow,1.0,30.0,mono,point_click,base,0,,
Kindred,W,slow,2.0,50.0,mono,skillshot,base,0,,
Kled,Q,airborne,2.5,,multi,skillshot,base,1,,Le airbone m'a l'air très élevé
Kled,Q,slow,2.5,40.0,multi,skillshot,base,0,"%slow depuis leveling « Slow », moyenne retenue","Le slow est de 1,5s"
Kled,R,airborne,0.5,,mono,skillshot,ultimate,1,défaut appliqué : knockback/pull 0.5 s — à vérifier,
Kog'Maw,E,slow,,50.0,multi,skillshot,base,0,"%slow depuis leveling « Slow », moyenne retenue",Zone de slow
LeBlanc,E,root,1.5,,mono,skillshot,base,0,,
Lee Sin,E,slow,4.0,55.0,multi,skillshot,base,0,"%slow depuis leveling « Slow », moyenne retenue",
Lee Sin,R,airborne,0.8,,mono,point_click,ultimate,1,,
Lee Sin,R,root,,,mono,point_click,ultimate,0,durée introuvable,"Root de 0,25s"
Leona,E,root,0.5,,multi,skillshot,base,0,,
Leona,Q,stun,1.0,,mono,point_click,base,0,,
Leona,R,slow,1.75,80.0,multi,skillshot,ultimate,0,,
Leona,R,stun,,,multi,skillshot,ultimate,0,durée introuvable,"Stun de 1,75s"
Lillia,E,slow,3.0,40.0,multi,skillshot,base,0,,
Lillia,R,sleep,1.5,,mono,point_click,ultimate,0,,
Lillia,R,slow,2.0,10.0,mono,point_click,ultimate,0,,
Lissandra,P,slow,4.0,25.0,multi,skillshot,base,0,,
Lissandra,Q,slow,1.5,28.0,multi,skillshot,base,0,"%slow depuis leveling « Slow », moyenne retenue",
Lissandra,R,slow,0.5,60.0,mono,point_click,ultimate,0,"%slow depuis leveling « Slow », moyenne retenue",
Lissandra,R,stun,1.5,,mono,point_click,ultimate,0,,
Lissandra,W,root,1.45,,multi,point_click,base,0,"durée depuis leveling « Root Duration », moyenne retenue",
Locke,Q,slow,1.0,25.0,multi,skillshot,base,0,,
Locke,R,slow,2.0,99.0,multi,skillshot,ultimate,0,,Locke vient de sortir il n'est pas présent sur le fandom mais je pense que le slow decay sur 2s
Lulu,Q,slow,2.0,80.0,multi,skillshot,base,0,,
Lulu,R,airborne,1.0,,multi,point_click,ultimate,0,,
Lulu,R,slow,0.25,45.0,multi,point_click,ultimate,0,"%slow depuis leveling « Slow », moyenne retenue",
Lulu,W,polymorph,1.6,,mono,point_click,base,0,"durée depuis leveling « Disable Duration », moyenne retenue",
Lulu,W,slow,1.6,,mono,point_click,base,0,"mot-clé slow introuvable dans la description ; durée depuis leveling « Disable Duration », moyenne retenue ; %slow introuvable",Le W de Lulu réduit la move speed à 60 on peut calculer le pourcentage en prenant la moyenne où la move speed médiane
Lux,E,slow,1.0,35.0,multi,skillshot,base,0,"%slow depuis leveling « Slow », moyenne retenue",
Lux,Q,root,2.0,,multi,skillshot,base,0,,
Malphite,Q,slow,3.0,30.0,mono,point_click,base,0,"%slow depuis leveling « Slow », moyenne retenue",
Malphite,R,airborne,1.5,,multi,skillshot,ultimate,0,,
Malzahar,Q,silence,1.5,,mono,skillshot,base,0,"durée depuis leveling « Silence Duration », moyenne retenue",
Malzahar,R,suppression,1.25,,multi,point_click,ultimate,0,défaut appliqué : suppression liée à un déplacement 1.25 s — à vérifier,
Maokai,E,slow,2.0,45.0,multi,skillshot,base,0,,
Maokai,Q,airborne,0.5,,multi,skillshot,base,1,défaut appliqué : knockback/pull 0.5 s — à vérifier,
Maokai,Q,slow,0.25,99.0,multi,skillshot,base,0,,
Maokai,Q,stun,0.5,,multi,skillshot,base,0,,
Maokai,R,root,,,multi,skillshot,ultimate,0,durée introuvable,"Le sort root de 0,75s à 2,25s selon la distance parcourue par le sort"
Maokai,W,root,1.2,,mono,point_click,base,0,"durée depuis leveling « Root Duration », moyenne retenue",
Mel,E,root,1.5,,multi,skillshot,base,0,,
Mel,E,slow,0.25,30.0,multi,skillshot,base,0,,
Milio,Q,airborne,1.0,,multi,skillshot,base,1,,
Milio,Q,slow,1.5,50.0,multi,skillshot,base,0,"%slow depuis leveling « Slow », moyenne retenue",
Milio,Q,stun,1.0,,multi,skillshot,base,0,,
Miss Fortune,E,slow,,40.0,multi,skillshot,base,0,,Zone de slow
Mordekaiser,E,airborne,0.5,,multi,skillshot,base,1,défaut appliqué : knockback/pull 0.5 s — à vérifier,Ce n'est pas un airbone ça attire sur 250 unités j'ai plus d'info
Mordekaiser,R,slow,,75.0,mono,point_click,ultimate,0,,"Slow de 0,5s"
Morgana,Q,root,2.5,,mono,skillshot,base,0,"durée depuis leveling « Root Duration », moyenne retenue",
Morgana,R,slow,,20.0,mono,skillshot,ultimate,0,,Slow de 3s
Morgana,R,stun,1.75,,mono,skillshot,ultimate,0,"durée depuis leveling « Stun Duration », moyenne retenue",
Naafiri,R,slow,0.25,99.0,mono,point_click,ultimate,0,,Je ne vois pas de slow
Nami,E,slow,1.0,25.0,mono,point_click,base,0,"%slow depuis leveling « Slow », moyenne retenue",
Nami,Q,airborne,0.75,,multi,skillshot,base,0,mot-clé airborne introuvable dans la description ; défaut appliqué : knock-up 0.75 s — à vérifier,
Nami,R,airborne,0.75,,multi,skillshot,ultimate,0,défaut appliqué : knock-up 0.75 s — à vérifier,
Nami,R,slow,3.0,70.0,multi,skillshot,ultimate,0,"durée variable ({{pp|type=distance traveled|2 to 4 by 0.2|0 to 2750|formula = ''Capped at 2750 range.''}}), moyenne retenue",
Nasus,W,slow,,35.0,mono,point_click,base,0,,Slow de 5s qui augmente au fur et à mesur
Nautilus,E,slow,1.5,40.0,multi,point_click,base,0,"%slow depuis leveling « Slow », moyenne retenue",
Nautilus,P,root,1.125,,mono,skillshot,base,0,"durée variable ({{pp|changedisplay=true|0.75 to 1.5 for 4|1 to 16}}), moyenne retenue",
Nautilus,Q,airborne,0.9,,mono,skillshot,base,1,,
Nautilus,Q,stun,1.0,,mono,skillshot,base,0,,
Nautilus,R,airborne,1.0,,multi,point_click,ultimate,0,,
Nautilus,R,stun,1.5,,multi,point_click,ultimate,0,"durée depuis leveling « Stun Duration », moyenne retenue",
Neeko,E,root,1.1,,multi,skillshot,base,0,"durée depuis leveling « Root Duration », moyenne retenue",Si le E de Neeko passe au travers d'une unité les unités derrière sont root de 1.8 / 2.1 / 2.4 / 2.7 / 3s selon le niveau
Neeko,R,airborne,0.6,,multi,point_click,ultimate,0,,
Neeko,R,stun,0.75,,multi,point_click,ultimate,0,,
Nilah,R,airborne,3.0,,multi,point_click,ultimate,1,,Le sort slow pendant 3s mais le airbone est de 250 units mais ne dure pas 3s
Nilah,R,slow,3.0,10.0,multi,point_click,ultimate,0,,
Nocturne,E,fear,2.0,,mono,point_click,base,0,,
Nocturne,E,slow,,,mono,point_click,base,0,"slow appliqué au lanceur (self), pas un CC ennemi — à exclure ?",Le fear est conditionel est dure 1.25 / 1.5 / 1.75 / 2 / 2.25s les durées sont les mêmes pour le slow qui est de 90%
Nunu,E,root,1.0,,multi,skillshot,base,0,"durée variable ({{pp|0.5 + (1.5-0.5)/17*(x-1) for 20}}), moyenne retenue ; durée extraite 6.75 s invraisemblable (> 4.0 s), écartée — à vérifier ; durée variable ({{pp|0.5 to 1.5}}), moyenne retenue ; complété via wiki Fandom (contenu possiblement daté)",
Nunu,E,slow,1.0,40.0,multi,skillshot,base,0,"%slow depuis leveling « Slow », moyenne retenue",
Nunu,R,slow,1.5,72.5,multi,point_click,ultimate,0,"durée variable ({{pp|type=channel time|0 to 3 for 13|0 to 3}}), moyenne retenue ; %slow variable ({{pp|type=channel time|key=%|0;50 to 95 for 11;95|0 to 3|formula=Increases by 4.5% every 0.25 seconds. ''Starts at 0.25 seconds and finishes at 2.75 seconds''}}), moyenne retenue",
Nunu,W,airborne,0.625,,multi,skillshot,base,0,"durée variable ({{pp|type=charge time|0.5;0.5 to 0.75 for 5|0 to 5|formula=Increases linearly after 1 second into the duration.}}), moyenne retenue",
Nunu,W,slow,,,multi,skillshot,base,0,%slow introuvable,Le sort n'applique pas de slow
Nunu,W,stun,0.25,,multi,skillshot,base,0,"durée variable ({{pp|type=charge time|0;0;0;0 to 0.5 for 9|0;1;2 to 5|formula=Increases per game tick after 2.33 seconds.}}), moyenne retenue ; complété via wiki Fandom (contenu possiblement daté)",
Olaf,Q,slow,2.0,40.0,mono,skillshot,base,0,"durée variable ({{pp|type=distance traveled|1 to 3 for 9|400 to 1000|formula=1+(0.25 per 75 units traveled)}}), moyenne retenue ; %slow depuis leveling « Slow », moyenne retenue",
Orianna,R,airborne,0.5,,multi,point_click,ultimate,1,défaut appliqué : knockback/pull 0.5 s — à vérifier,
Orianna,R,stun,0.75,,multi,point_click,ultimate,0,,
Orianna,W,slow,2.0,30.0,multi,point_click,base,0,"%slow depuis leveling « Movement Speed Modifier », moyenne retenue",
Ornn,E,airborne,1.25,,multi,skillshot,base,0,,Conditionnel car il faut toucher un mur
Ornn,E,stun,1.25,,multi,skillshot,base,0,,
Ornn,P,airborne,0.5,,multi,skillshot,base,1,défaut appliqué : knockback/pull 0.5 s — à vérifier,Conditionnel car il faut que cible est l'état brittle
