# cc_reference.draft.csv — BROUILLON généré le 2026-07-11 par `python -m trio_lab.ccref`.
# NE PAS FIGER SANS RELECTURE HUMAINE (CLAUDE.md règle 4) : durées/%slow extraits
# par heuristiques depuis la prose du wiki ; toute ligne avec `note_relecture`
# non vide demande une vérification. Après relecture : renommer en
# cc_reference.csv (fichier immuable, re-versionné à chaque rework).
#
# Source : League of Legends Wiki — « Types of Crowd Control/Sources » et pages de sorts,
# via l'API MediaWiki (https://wiki.leagueoflegends.com/en-us/api.php).
# Contenu dérivé sous licence CC BY-SA 4.0 ; attribution : League of Legends Wiki
# (https://wiki.leagueoflegends.com), communauté des contributeurs.
# League of Legends et Riot Games sont des marques de Riot Games, Inc.
#
# Colonnes : zone ∈ {mono, multi} (heuristique), fiabilite ∈ {point_click, skillshot}
# (le ciblage, indépendant de la condition), disponibilite ∈ {base, ultimate},
# repositionnement ∈ {0, 1} (airborne déplaçant), conditionnel ∈ {0, 1} (CC sous
# condition : collision terrain, charge complète — E de Poppy, Q de Bard).
# Les coefficients (poids par type, coef_zone, coef_conditionnel…) vivent dans la
# config, pas ici.
champion,sort,type_cc,duree_s,pct_slow,zone,fiabilite,disponibilite,repositionnement,conditionnel,note_relecture
Aphelios,A,slow,2.5,30.0,mono,skillshot,base,0,0,
Aphelios,Q,root,1.0,,multi,point_click,base,0,0,
Ashe,P,slow,2.0,25.0,mono,skillshot,base,0,0,relecture : slow 2 s (fandom)
Ashe,R,stun,2.25,,mono,skillshot,ultimate,0,0,relecture : 1 à 3.5 s selon la distance — moyenne retenue
Ashe,W,slow,2.0,25.0,multi,skillshot,base,0,0,relecture (ajout) : applique le slow du passif Frost Shot (ligne manquante côté wiki)
Aurelion Sol,E,slow,2.0,,multi,skillshot,base,0,0,relecture : zone + attirance progressive vers le centre ; % slow inconnu — à compléter
Aurelion Sol,R,airborne,1.0,,multi,skillshot,ultimate,0,0,
Aurelion Sol,R,slow,1.0,50.0,multi,skillshot,ultimate,0,0,
Aurelion Sol,R,stun,1.0,,multi,skillshot,ultimate,0,0,
Aurora,E,slow,1.0,80.0,multi,skillshot,base,0,0,
Aurora,R,slow,2.0,30.0,multi,skillshot,ultimate,0,1,"conditionnel (collision/charge) — heuristique, à vérifier"
Azir,Q,slow,1.0,25.0,multi,skillshot,base,0,0,
Azir,R,airborne,1.0,,multi,skillshot,ultimate,1,0,relecture : relecture zone/fiabilité : zone multi
Bard,P,slow,1.0,50.0,multi,skillshot,base,0,0,"%slow variable ({{pp|type = number of Chimes|key=%|25 to 75 for 6|5;25;45;60;75;85}}), moyenne retenue"
Bard,Q,slow,1.4,60.0,mono,skillshot,base,0,0,"durée depuis leveling « Disable Duration », moyenne retenue"
Bard,Q,stun,1.4,,multi,skillshot,base,0,1,relecture : relecture zone/fiabilité : zone multi
Bard,R,stun,2.5,,multi,skillshot,ultimate,0,0,relecture : stase type Zhonya 2.5 s — poids plein conservé (setup de combos en sortie de stase — décision Célian 2026-07-11)
Bel'Veth,W,airborne,0.75,,multi,skillshot,base,0,0,
Bel'Veth,W,slow,1.75,50.0,multi,skillshot,base,0,0,"durée depuis leveling « Slow Duration », moyenne retenue"
Blitzcrank,E,airborne,1.0,,mono,point_click,base,0,0,
Blitzcrank,Q,airborne,0.5,,mono,skillshot,base,1,0,défaut appliqué : knockback/pull 0.5 s — à vérifier
Blitzcrank,Q,stun,0.65,,mono,skillshot,base,0,0,
Blitzcrank,R,silence,0.5,,multi,point_click,ultimate,0,0,
Brand,Q,stun,1.75,,mono,skillshot,base,0,0,
Brand,R,slow,0.25,45.0,multi,point_click,ultimate,0,0,"%slow depuis leveling « Slow », moyenne retenue"
Braum,P,stun,1.5,,mono,skillshot,base,0,0,"durée variable ({{pp|changedisplay=true|1.25 to 1.75 for 3|1 to 13|type=his level|label1=level}}), moyenne retenue"
Braum,Q,slow,2.0,70.0,mono,skillshot,base,0,0,
Braum,R,airborne,0.6,,multi,skillshot,ultimate,0,0,
Braum,R,slow,2.0,50.0,multi,skillshot,ultimate,0,0,relecture : zone de slow
Briar,E,airborne,0.5,,multi,skillshot,base,1,1,"conditionnel (collision/charge) — heuristique, à vérifier"
Briar,E,slow,0.5,80.0,multi,skillshot,base,0,1,"conditionnel (collision/charge) — heuristique, à vérifier"
Briar,E,stun,1.5,,multi,skillshot,base,0,0,
Briar,Q,stun,0.85,,mono,point_click,base,0,0,
Briar,R,fear,1.5,,multi,skillshot,ultimate,0,0,
Briar,R,slow,1.5,35.0,multi,skillshot,ultimate,0,0,relecture : slow 1.5 s
Caitlyn,E,slow,1.0,50.0,mono,skillshot,base,0,0,
Caitlyn,W,root,1.5,,mono,skillshot,base,0,0,
Camille,E,airborne,0.75,,mono,skillshot,base,1,1,"conditionnel (collision/charge) — heuristique, à vérifier"
Camille,E,stun,0.75,,mono,skillshot,base,0,1,"conditionnel (collision/charge) — heuristique, à vérifier"
Camille,R,airborne,0.5,,multi,point_click,ultimate,1,0,relecture : la zone dure 3.25 s mais l'airborne est bien plus court
Camille,W,slow,2.0,80.0,multi,skillshot,base,0,0,
Cassiopeia,R,slow,2.0,40.0,multi,skillshot,ultimate,0,0,
Cassiopeia,R,stun,2.0,,multi,skillshot,ultimate,0,1,relecture : stun 2 s si l'ennemi fait face
Cassiopeia,W,ground,2.0,,multi,skillshot,base,0,0,relecture : zone de CC
Cassiopeia,W,slow,2.0,60.0,multi,skillshot,base,0,0,relecture : zone de CC
Cho'Gath,E,slow,1.5,40.0,multi,point_click,base,0,0,"%slow depuis leveling « Slow », moyenne retenue"
Cho'Gath,Q,airborne,1.0,,multi,skillshot,base,0,0,
Cho'Gath,Q,slow,1.5,60.0,multi,skillshot,base,0,0,
Cho'Gath,W,silence,1.8,,multi,skillshot,base,0,0,"durée depuis leveling « Silence Duration », moyenne retenue"
Darius,E,airborne,1.0,,multi,skillshot,base,1,0,
Darius,E,slow,1.0,,multi,skillshot,base,0,0,relecture : slow 1 s ; relecture zone/fiabilité : zone multi
Darius,W,slow,1.0,90.0,mono,point_click,base,0,0,
Diana,R,airborne,2.0,,multi,point_click,ultimate,1,0,
Diana,R,slow,2.0,50.0,multi,point_click,ultimate,0,0,"%slow depuis leveling « Slow », moyenne retenue"
Dr. Mundo,Q,slow,2.0,40.0,mono,skillshot,base,0,0,
Draven,E,airborne,2.0,,multi,skillshot,base,1,0,
Draven,E,slow,2.0,30.0,multi,skillshot,base,0,0,"%slow depuis leveling « Slow », moyenne retenue"
Ekko,Q,slow,1.75,50.0,multi,skillshot,base,0,0,"%slow depuis leveling « Slow », moyenne retenue"
Ekko,W,slow,2.0,40.0,multi,skillshot,base,0,0,
Ekko,W,stun,2.25,,multi,skillshot,base,0,1,relecture : conditionnel
Elise,E,stun,2.0,,mono,skillshot,base,0,0,"durée depuis leveling « Stun Duration », moyenne retenue"
Evelynn,W,charm,1.75,,mono,point_click,base,0,1,relecture : conditionnel
Evelynn,W,slow,0.75,45.0,mono,point_click,base,0,0,
Fiddlesticks,E,silence,1.25,,multi,skillshot,base,0,0,
Fiddlesticks,E,slow,1.25,40.0,multi,skillshot,base,0,0,"%slow depuis leveling « Slow », moyenne retenue"
Fiddlesticks,Q,fear,1.6,,mono,point_click,base,0,0,"durée depuis leveling « Fear Duration », moyenne retenue"
Fiddlesticks,Q,slow,1.6,90.0,mono,point_click,base,0,0,relecture : slow 1.6 s
Fiddlesticks,R,fear,1.75,,multi,skillshot,ultimate,0,0,relecture (ajout) : l'ulti applique le fear du Q (1.25-2.25 s — moyenne) ; ligne manquante côté wiki
Fiora,E,slow,1.0,30.0,mono,point_click,base,0,0,
Fiora,W,slow,2.0,25.0,mono,skillshot,base,0,1,relecture : relecture zone/fiabilité : zone mono
Fiora,W,stun,2.0,,mono,skillshot,base,0,1,relecture : stun conditionnel 2 s (parade) ; relecture zone/fiabilité : zone mono
Fizz,E,slow,2.0,50.0,multi,skillshot,base,0,0,"%slow depuis leveling « Slow », moyenne retenue"
Fizz,R,airborne,0.5,,multi,skillshot,ultimate,1,0,relecture : knockback (1 s knock-up si le leurre est intercepté)
Fizz,R,slow,2.0,60.0,multi,skillshot,ultimate,0,0,relecture : 40/60/80 % selon la taille du requin — moyenne
Galio,E,airborne,0.75,,multi,skillshot,base,0,0,relecture : relecture zone/fiabilité : zone multi
Galio,R,airborne,0.75,,multi,point_click,ultimate,1,0,
Galio,W,taunt,1.0,,multi,point_click,base,0,0,relecture : relecture zone/fiabilité : zone multi
Gangplank,E,slow,2.0,60.0,multi,skillshot,base,0,0,"%slow depuis leveling « Slow », moyenne retenue"
Gangplank,R,slow,0.5,30.0,multi,skillshot,ultimate,0,0,
Garen,Q,silence,1.5,,mono,point_click,base,0,0,
Gnar,E,slow,0.5,80.0,mono,skillshot,base,0,0,
Gnar,E,slow,0.5,80.0,multi,skillshot,base,0,0,
Gnar,Q,slow,2.0,25.0,multi,skillshot,base,0,0,"%slow depuis leveling « Slow », moyenne retenue"
Gnar,Q,slow,2.0,40.0,multi,skillshot,base,0,0,"%slow depuis leveling « Slow », moyenne retenue"
Gnar,R,airborne,1.5,,multi,skillshot,ultimate,1,0,"durée depuis leveling « Disable Duration », moyenne retenue"
Gnar,R,slow,1.5,45.0,multi,skillshot,ultimate,0,1,"durée depuis leveling « Disable Duration », moyenne retenue ; conditionnel (collision/charge) — heuristique, à vérifier"
Gnar,R,stun,1.5,,multi,skillshot,ultimate,0,1,"durée depuis leveling « Disable Duration », moyenne retenue ; conditionnel (collision/charge) — heuristique, à vérifier"
Gnar,W,stun,1.25,,multi,skillshot,base,0,0,
Gragas,E,airborne,1.0,,multi,skillshot,base,1,1,"conditionnel (collision/charge) — heuristique, à vérifier"
Gragas,E,stun,1.0,,multi,skillshot,base,0,1,"conditionnel (collision/charge) — heuristique, à vérifier"
Gragas,Q,slow,2.0,50.0,multi,skillshot,base,0,0,"%slow depuis leveling « Minimum Slow », moyenne retenue"
Gragas,R,airborne,0.5,,multi,skillshot,ultimate,1,0,défaut appliqué : knockback/pull 0.5 s — à vérifier
Graves,W,slow,0.5,50.0,multi,skillshot,base,0,0,
Gwen,R,slow,1.5,45.0,multi,skillshot,ultimate,0,0,"%slow depuis leveling « Slow », moyenne retenue"
Hecarim,E,airborne,0.5,,mono,point_click,base,1,0,défaut appliqué : knockback/pull 0.5 s — à vérifier
Hecarim,E,stun,0.25,,mono,point_click,base,0,0,
Hecarim,R,fear,1.125,,multi,skillshot,ultimate,0,0,"durée variable ({{pp|type=distance traveled|0.75 to 1.5 for 11|0 to 1000}}), moyenne retenue"
Hecarim,R,slow,1.125,49.5,multi,skillshot,ultimate,0,0,relecture : slow 1.125 s
Heimerdinger,E,slow,2.0,35.0,multi,skillshot,base,0,0,
Heimerdinger,E,slow,2.0,35.0,multi,skillshot,base,0,0,
Heimerdinger,E,stun,1.5,,multi,skillshot,base,0,0,
Heimerdinger,E,stun,1.5,,multi,skillshot,base,0,0,
Hwei,E,airborne,0.5,,multi,skillshot,base,1,0,défaut appliqué : knockback/pull 0.5 s — à vérifier
Hwei,E,slow,,35.0,multi,skillshot,base,0,0,
Hwei,E,slow,1.25,55.0,multi,skillshot,base,0,0,"%slow depuis leveling « Slow », moyenne retenue"
Hwei,Q,fear,1.25,,mono,skillshot,base,0,0,"durée depuis leveling « Disable Duration », moyenne retenue"
Hwei,Q,slow,1.25,85.4,mono,skillshot,base,0,0,"durée depuis leveling « Disable Duration », moyenne retenue ; %slow variable ({{pp|type=distance from '''Hwei'''|70;78;86;94;99|0;300;600;900;1100|key=%|changedisplay=true|formula=70% + 1% for every 38 units the target is away from Hwei at the time of being hit}}), moyenne retenue"
Hwei,R,slow,0.25,10.0,multi,skillshot,ultimate,0,0,"relecture : par stack, cumulable ×12"
Hwei,W,root,1.6,,mono,skillshot,base,0,1,"durée depuis leveling « Root Duration », moyenne retenue ; conditionnel (collision/charge) — heuristique, à vérifier"
Illaoi,E,slow,1.5,80.0,mono,skillshot,base,0,0,
Irelia,E,stun,0.75,,multi,skillshot,base,0,0,
Irelia,R,slow,1.5,90.0,multi,skillshot,ultimate,0,0,
Ivern,E,slow,2.0,50.0,multi,point_click,base,0,0,"%slow depuis leveling « Slow », moyenne retenue"
Ivern,Q,root,1.8,,mono,skillshot,base,0,0,"durée depuis leveling « Root Duration », moyenne retenue"
Ivern,R,airborne,1.0,,multi,skillshot,ultimate,0,0,relecture : airborne 1 s (fandom) ; relecture zone/fiabilité : zone multi
Janna,Q,airborne,0.875,,multi,skillshot,base,0,0,"durée variable ({{pp|type=seconds charged|0.5 to 1.25|0 to 1.5 by 0.1}}), moyenne retenue"
Janna,R,airborne,0.5,,multi,point_click,ultimate,1,0,
Janna,W,slow,2.0,28.0,mono,point_click,base,0,0,relecture : 20-36 % — moyenne
Jarvan IV,Q,airborne,0.75,,multi,skillshot,base,0,0,
Jarvan IV,R,airborne,0.15,,multi,point_click,ultimate,1,0,
Jarvan IV,W,slow,2.0,25.0,multi,point_click,base,0,0,"%slow depuis leveling « Slow », moyenne retenue"
Jax,E,stun,1.0,,multi,point_click,base,0,0,
Jayce,E,airborne,0.4,,mono,point_click,base,1,0,
Jayce,E,root,0.25,,mono,point_click,base,0,0,relecture : root 0.25 s
Jayce,Q,slow,2.0,47.5,multi,point_click,base,0,0,"%slow depuis leveling « Slow », moyenne retenue"
Jhin,E,slow,2.0,35.0,multi,skillshot,base,0,0,
Jhin,R,slow,0.5,80.0,multi,skillshot,ultimate,0,0,
Jhin,W,root,1.75,,mono,skillshot,base,0,1,relecture : relecture zone/fiabilité : zone mono
Jinx,E,root,1.5,,multi,skillshot,base,0,0,
Jinx,W,slow,2.0,60.0,mono,skillshot,base,0,0,"%slow depuis leveling « Slow », moyenne retenue"
K'Sante,Q,airborne,0.65,,multi,skillshot,base,1,0,
K'Sante,Q,slow,0.5,80.0,multi,skillshot,base,0,0,
K'Sante,Q,stun,0.8,,multi,skillshot,base,0,0,
K'Sante,R,airborne,0.25,,mono,point_click,ultimate,1,0,relecture : airborne 0.25 s
K'Sante,R,root,0.5,,mono,point_click,ultimate,0,0,relecture : root 0.5 s
K'Sante,R,stun,0.5,,mono,point_click,ultimate,0,0,relecture : stun 0.5 s (si la ligne existe côté wiki)
K'Sante,W,airborne,0.5,,multi,skillshot,base,1,0,relecture : relecture zone/fiabilité : zone multi
K'Sante,W,stun,1.125,,multi,skillshot,base,0,0,relecture : 0.5 à 1.75 s selon la charge — moyenne retenue ; relecture zone/fiabilité : zone multi
Kalista,E,slow,2.0,26.0,multi,skillshot,base,0,0,"%slow depuis leveling « Slow », moyenne retenue"
Kalista,R,airborne,1.0,,multi,skillshot,ultimate,0,1,"conditionnel (collision/charge) — heuristique, à vérifier"
Karma,Q,slow,1.5,40.0,multi,skillshot,base,0,0,relecture : le RQ crée une zone de slow en plus du slow direct
Karma,Q,slow,,50.0,multi,skillshot,base,0,0,
Karma,W,root,1.8,,mono,point_click,base,0,0,"durée depuis leveling « Root Duration », moyenne retenue"
Karma,W,root,0.875,,mono,point_click,base,0,0,"durée depuis leveling « Root Duration Increase », moyenne retenue"
Karthus,W,slow,5.0,60.0,mono,skillshot,base,0,0,"%slow depuis leveling « Slow », moyenne retenue"
Kassadin,E,slow,1.0,60.0,multi,skillshot,base,0,0,"%slow depuis leveling « Slow », moyenne retenue"
Kayle,Q,slow,2.0,35.0,mono,skillshot,base,0,0,"%slow depuis leveling « Slow », moyenne retenue"
Kayn,W,airborne,1.0,,multi,skillshot,base,0,0,forme Rhaast
Kayn,W,slow,1.5,90.0,multi,skillshot,base,0,0,
Kayn,W,slow,1.5,90.0,multi,skillshot,base,0,0,forme Rhaast
Kennen,P,stun,1.25,,multi,skillshot,base,0,0,
Kha'Zix,P,slow,2.0,25.0,mono,skillshot,base,0,0,
Kha'Zix,W,slow,2.0,40.0,multi,skillshot,base,0,0,
Kindred,E,slow,1.0,30.0,mono,point_click,base,0,0,
Kindred,W,slow,2.0,50.0,mono,skillshot,base,0,0,
Kled,Q,airborne,0.5,,mono,skillshot,base,1,0,relecture : durée 2.5 s invraisemblable pour un pull — défaut 0.5 s ; relecture zone/fiabilité : zone mono
Kled,Q,slow,1.5,40.0,multi,skillshot,base,0,0,relecture : slow 1.5 s
Kled,R,airborne,0.5,,mono,skillshot,ultimate,1,0,défaut appliqué : knockback/pull 0.5 s — à vérifier
Kog'Maw,E,slow,2.0,50.0,multi,skillshot,base,0,0,relecture : zone de slow
LeBlanc,E,root,1.5,,mono,skillshot,base,0,1,relecture : conditionnel
Lee Sin,E,slow,4.0,55.0,multi,skillshot,base,0,0,relecture : decay sur 4 s
Lee Sin,R,airborne,0.8,,mono,point_click,ultimate,1,1,"conditionnel (collision/charge) — heuristique, à vérifier"
Lee Sin,R,root,0.25,,mono,point_click,ultimate,0,0,relecture : root 0.25 s (cibles secondaires)
Leona,E,root,0.5,,mono,skillshot,base,0,0,relecture : relecture zone/fiabilité : zone mono
Leona,Q,stun,1.0,,mono,point_click,base,0,0,
Leona,R,slow,1.75,80.0,multi,skillshot,ultimate,0,0,
Leona,R,stun,1.75,,multi,skillshot,ultimate,0,0,relecture : stun 1.75 s
Lillia,E,slow,3.0,40.0,multi,skillshot,base,0,0,
Lillia,R,sleep,1.5,,multi,point_click,ultimate,0,0,relecture : relecture zone/fiabilité : zone multi
Lillia,R,slow,2.0,10.0,multi,point_click,ultimate,0,0,relecture : relecture zone/fiabilité : zone multi
Lissandra,P,slow,4.0,25.0,multi,skillshot,base,0,0,
Lissandra,Q,slow,1.5,28.0,multi,skillshot,base,0,0,"%slow depuis leveling « Slow », moyenne retenue"
Lissandra,R,slow,0.5,60.0,multi,point_click,ultimate,0,0,relecture : relecture zone/fiabilité : zone multi
Lissandra,R,stun,1.5,,mono,point_click,ultimate,0,0,
Lissandra,W,root,1.45,,multi,point_click,base,0,0,"durée depuis leveling « Root Duration », moyenne retenue"
Locke,Q,slow,1.0,25.0,multi,skillshot,base,0,0,
Locke,R,slow,2.0,99.0,multi,skillshot,ultimate,0,0,
Lulu,Q,slow,2.0,80.0,multi,skillshot,base,0,0,
Lulu,R,airborne,1.0,,multi,point_click,ultimate,0,0,
Lulu,R,slow,0.25,45.0,multi,point_click,ultimate,0,0,"%slow depuis leveling « Slow », moyenne retenue"
Lulu,W,polymorph,1.6,,mono,point_click,base,0,0,"durée depuis leveling « Disable Duration », moyenne retenue"
Lulu,W,slow,1.6,83.0,mono,point_click,base,0,0,relecture : vitesse fixée à 60 ≈ 83 % vs ~355 de médiane — à valider
Lux,E,slow,1.0,35.0,multi,skillshot,base,0,0,"%slow depuis leveling « Slow », moyenne retenue"
Lux,Q,root,2.0,,multi,skillshot,base,0,0,
Malphite,Q,slow,3.0,30.0,mono,point_click,base,0,0,"%slow depuis leveling « Slow », moyenne retenue"
Malphite,R,airborne,1.5,,multi,skillshot,ultimate,0,0,
Malzahar,Q,silence,1.5,,mono,skillshot,base,0,0,"durée depuis leveling « Silence Duration », moyenne retenue"
Malzahar,R,suppression,1.25,,multi,point_click,ultimate,0,0,défaut appliqué : suppression liée à un déplacement 1.25 s — à vérifier
Maokai,E,slow,2.0,45.0,multi,skillshot,base,0,1,"conditionnel (collision/charge) — heuristique, à vérifier"
Maokai,Q,airborne,0.5,,multi,skillshot,base,1,0,défaut appliqué : knockback/pull 0.5 s — à vérifier
Maokai,Q,slow,0.25,99.0,multi,skillshot,base,0,0,
Maokai,Q,stun,0.5,,multi,skillshot,base,0,0,
Maokai,R,root,1.5,,multi,skillshot,ultimate,0,0,relecture : 0.75 à 2.25 s selon la distance — moyenne retenue
Maokai,W,root,1.2,,mono,point_click,base,0,0,"durée depuis leveling « Root Duration », moyenne retenue"
Mel,E,root,1.5,,multi,skillshot,base,0,0,
Mel,E,slow,0.25,30.0,multi,skillshot,base,0,0,
Milio,Q,airborne,1.0,,multi,skillshot,base,1,0,
Milio,Q,slow,1.5,50.0,multi,skillshot,base,0,0,"%slow depuis leveling « Slow », moyenne retenue"
Milio,Q,stun,1.0,,multi,skillshot,base,0,0,
Miss Fortune,E,slow,2.0,40.0,multi,skillshot,base,0,0,relecture : zone de slow
Mordekaiser,E,airborne,0.5,,multi,skillshot,base,1,0,relecture : attirance de 250 unités — durée par défaut de pull
Mordekaiser,R,slow,0.5,75.0,mono,point_click,ultimate,0,0,relecture : slow 0.5 s
Morgana,Q,root,2.5,,mono,skillshot,base,0,0,"durée depuis leveling « Root Duration », moyenne retenue"
Morgana,R,slow,3.0,20.0,multi,point_click,ultimate,0,0,relecture : slow 3 s ; relecture zone/fiabilité : zone multi ; fiabilité point_click
Morgana,R,stun,1.75,,multi,point_click,ultimate,0,1,relecture : conditionnel (rester à portée) ; relecture zone/fiabilité : zone multi ; fiabilité point_click
Nami,E,slow,1.0,25.0,mono,point_click,base,0,0,"%slow depuis leveling « Slow », moyenne retenue"
Nami,Q,airborne,1.5,,multi,skillshot,base,0,0,relecture : airborne + stun simultanés 1.5 s (règle du max au score)
Nami,R,airborne,0.75,,multi,skillshot,ultimate,0,0,défaut appliqué : knock-up 0.75 s — à vérifier
Nami,R,slow,3.0,70.0,multi,skillshot,ultimate,0,0,"durée variable ({{pp|type=distance traveled|2 to 4 by 0.2|0 to 2750|formula = ''Capped at 2750 range.''}}), moyenne retenue"
Nasus,W,slow,5.0,35.0,mono,point_click,base,0,0,relecture : slow 5 s croissant
Nautilus,E,slow,1.5,40.0,multi,point_click,base,0,0,"%slow depuis leveling « Slow », moyenne retenue"
Nautilus,P,root,1.125,,mono,point_click,base,0,0,relecture : relecture zone/fiabilité : fiabilité point_click
Nautilus,Q,airborne,0.9,,mono,skillshot,base,1,1,"conditionnel (collision/charge) — heuristique, à vérifier"
Nautilus,Q,stun,1.0,,mono,skillshot,base,0,0,
Nautilus,R,airborne,1.0,,multi,point_click,ultimate,0,0,
Nautilus,R,stun,1.5,,multi,point_click,ultimate,0,0,"durée depuis leveling « Stun Duration », moyenne retenue"
Neeko,E,root,1.1,,multi,skillshot,base,0,0,relecture : 1.8 à 3 s si le projectile traverse une unité (base 1.1 s conservée)
Neeko,E,root,2.4,,multi,skillshot,base,0,1,relecture (ajout) : root renforcé si le projectile traverse une unité (1.8-3 s — moyenne)
Neeko,R,airborne,0.6,,multi,point_click,ultimate,0,0,
Neeko,R,stun,0.75,,multi,point_click,ultimate,0,0,
Nilah,R,airborne,0.5,,multi,point_click,ultimate,1,0,relecture : airborne bref (250 unités) — le slow 3 s est une ligne séparée
Nilah,R,slow,3.0,10.0,multi,point_click,ultimate,0,0,
Nocturne,E,fear,1.75,,mono,point_click,base,0,1,relecture : fear conditionnel 1.25-2.25 s — moyenne retenue
Nocturne,E,slow,1.75,90.0,mono,point_click,base,0,1,relecture : mêmes durées que le fear ; 90 %
Nunu,E,root,1.0,,multi,skillshot,base,0,0,"durée variable ({{pp|0.5 + (1.5-0.5)/17*(x-1) for 20}}), moyenne retenue ; durée extraite 6.75 s invraisemblable (> 4.0 s), écartée — à vérifier ; durée variable ({{pp|0.5 to 1.5}}), moyenne retenue ; complété via wiki Fandom (contenu possiblement daté)"
Nunu,E,slow,1.0,40.0,multi,skillshot,base,0,0,"%slow depuis leveling « Slow », moyenne retenue"
Nunu,R,slow,1.5,72.5,multi,point_click,ultimate,0,0,"durée variable ({{pp|type=channel time|0 to 3 for 13|0 to 3}}), moyenne retenue ; %slow variable ({{pp|type=channel time|key=%|0;50 to 95 for 11;95|0 to 3|formula=Increases by 4.5% every 0.25 seconds. ''Starts at 0.25 seconds and finishes at 2.75 seconds''}}), moyenne retenue"
Nunu,W,airborne,0.625,,multi,skillshot,base,0,0,"durée variable ({{pp|type=charge time|0.5;0.5 to 0.75 for 5|0 to 5|formula=Increases linearly after 1 second into the duration.}}), moyenne retenue"
Nunu,W,stun,0.25,,multi,skillshot,base,0,0,"durée variable ({{pp|type=charge time|0;0;0;0 to 0.5 for 9|0;1;2 to 5|formula=Increases per game tick after 2.33 seconds.}}), moyenne retenue ; complété via wiki Fandom (contenu possiblement daté)"
Olaf,Q,slow,2.0,40.0,mono,skillshot,base,0,0,"durée variable ({{pp|type=distance traveled|1 to 3 for 9|400 to 1000|formula=1+(0.25 per 75 units traveled)}}), moyenne retenue ; %slow depuis leveling « Slow », moyenne retenue"
Orianna,R,airborne,0.5,,multi,point_click,ultimate,1,0,défaut appliqué : knockback/pull 0.5 s — à vérifier
Orianna,R,stun,0.75,,multi,point_click,ultimate,0,0,
Orianna,W,slow,2.0,30.0,multi,point_click,base,0,0,"%slow depuis leveling « Movement Speed Modifier », moyenne retenue"
Ornn,E,airborne,1.25,,multi,skillshot,base,0,1,relecture : conditionnel : collision avec un mur
Ornn,E,stun,1.25,,multi,skillshot,base,0,1,"conditionnel (collision/charge) — heuristique, à vérifier"
